"","Y","X1","X2","X3","X4","X5","X6"
"2164",-10.9,1870,5,1985,614.27,9.5,0
"2171",-12.2,1877,5,1985,620,11,3.5
"2178",-12.6,1884,5,1985,622.25,16,0
"2192",-11.4,1898,6,1985,623.02,18.5,0
"2199",-10.8,1905,6,1985,622.7,16.75,0
"2206",-10,1912,6,1985,622.11,19.75,15
"2213",-8.9,1919,7,1985,621.64,21,0
"2221",-8.1,1927,7,1985,621.04,19.75,0
"2227",-7.6,1933,7,1985,620.47,23,0
"2234",-6.3,1940,7,1985,619.58,24.125,0
"2241",-5.8,1947,8,1985,618.66,20,0
"2248",-5.3,1954,8,1985,617.87,17.25,0
"2262",-2.6,1968,8,1985,615.84,23.625,0
"2269",-2.4,1975,8,1985,614.76,21.5,0
"2276",-1.8,1982,9,1985,613.58,22.625,0
"2283",-0.7,1989,9,1985,612.33,20.5,0
"2290",-1.2,1996,9,1985,611.08,17.75,0
"2297",-1.2,2003,9,1985,609.76,19.25,12
"2304",-0.6,2010,10,1985,608.4,18.375,0
"2306",-9.4,2012,10,1985,608,16.5,0
"2311",-0.9,2017,10,1985,606.96,12.75,0
"2318",-0.5,2024,10,1985,605.45,15.625,0
"2325",-0.8,2031,10,1985,603.98,13,0.7
"2332",-2.1,2038,10,1985,602.45,10,0
"2339",-1.9,2045,11,1985,600.86,11.25,0
"2346",-2.4,2052,11,1985,600.52,4.5,0
"2353",-3.7,2059,11,1985,600.14,-1.75,0
"2360",-4.7,2066,11,1985,599.41,1.125,0
"2374",-5.7,2080,12,1985,597.83,2.75,0
"2381",-6.2,2087,12,1985,597.28,7.25,0
"2395",-6.9,2101,1,1986,596.1,0.75,0
"2402",-7.4,2108,1,1986,595.52,2.375,0
"2409",-7.4,2115,1,1986,594.95,4.5,0
"2416",-7.4,2122,1,1986,594.34,3.5,0
"2423",-7.8,2129,1,1986,593.68,-0.5,0
"2430",-8.2,2136,2,1986,593.05,0.25,0
"2437",-8.5,2143,2,1986,592.43,-0.5,0
"2444",-8.5,2150,2,1986,592.15,4.375,0
"2451",-8.4,2157,2,1986,591.88,6.5,0
"2458",-7.7,2164,3,1986,592.64,5.5,0
"2465",-8.2,2171,3,1986,592.74,5.25,0
"2472",-7.5,2178,3,1986,592.29,8.125,13.7
"2479",-7.7,2185,3,1986,591.94,4.75,0
"2486",-7.2,2192,4,1986,591.69,8.875,0
"2493",-8.1,2199,4,1986,595.13,3.25,0
"2500",-8.3,2206,4,1986,597.81,6.25,1.5
"2507",-8.2,2213,4,1986,599.12,9.25,0
"2521",-8.6,2227,5,1986,604.94,12,0
"2528",-7.6,2234,5,1986,606.92,17.5,0
"2535",-6.7,2241,5,1986,608.25,19.75,0
"2549",-6.9,2255,6,1986,612.32,17,0
"2556",-6.6,2262,6,1986,612.38,19.5,0
"2563",-6.3,2269,6,1986,612.18,18,0
"2570",-5,2276,6,1986,611.87,21.875,0
"2612",-0.4,2318,8,1986,606.51,22.5,0
"2619",-0.2,2325,8,1986,605.46,20.75,8.75
"2626",0.2,2332,8,1986,604.3,22.375,0
"2633",0.8,2339,8,1986,603.15,15,34.2
"2640",0.8,2346,9,1986,601.96,19.625,0
"2654",1.4,2360,9,1986,599.8,18,0
"2661",1.4,2367,9,1986,598.76,19.75,1
"2668",1,2374,10,1986,598.5,17,31
"2675",0.9,2381,10,1986,601.35,18,0
"2682",0,2388,10,1986,602.3,14.25,20.5
"2689",-0.8,2395,10,1986,603.49,14.5,0
"2696",-1.8,2402,10,1986,603.19,9.25,0
"2703",-2.6,2409,11,1986,602.45,7,0
"2710",-2.9,2416,11,1986,601.58,9.875,0
"2717",-3.5,2423,11,1986,601,6,0
"2724",-4.1,2430,11,1986,600.09,5.25,0
"2731",-4.6,2437,12,1986,599.05,5,0
"2738",-5.2,2444,12,1986,598.05,3.375,0
"2745",-5.9,2451,12,1986,597.02,3,0
"2766",-6.8,2472,1,1987,593.6,0.375,0
"2773",-6.9,2479,1,1987,592.48,-3.5,0
"2780",-7.2,2486,1,1987,591.21,1,0
"2787",-6.9,2493,1,1987,590.05,7.75,0
"2794",-6.8,2500,2,1987,589.7,4.625,2
"2801",-6.8,2507,2,1987,589.26,5.75,1
"2808",-7.3,2514,2,1987,588.43,-0.5,3.5
"2815",-7.2,2521,2,1987,587.61,4.5,0
"2822",-6.4,2528,3,1987,586.73,8.625,0
"2829",-6.4,2535,3,1987,586.1,7.75,8.5
"2836",-6.6,2542,3,1987,586.46,4.375,0
"2843",-6.6,2549,3,1987,586.22,10,5.5
"2850",-6.6,2556,4,1987,585.81,6.5,0
"2857",-6.7,2563,4,1987,594.17,13,8.5
"2864",-7.3,2570,4,1987,598.37,10.375,0
"2871",-6.9,2577,4,1987,600.28,11.5,23
"2878",-6.5,2584,4,1987,601.72,13.75,0
"2885",-6.6,2591,5,1987,602.2,10.75,0
"2892",-6.2,2598,5,1987,601.97,11.75,0
"2899",-6.4,2605,5,1987,602.5,11.5,0
"2906",-5.8,2612,5,1987,603.17,14.25,11
"2913",-4.7,2619,6,1987,603.26,17.5,4
"2920",-4.5,2626,6,1987,602.72,14.625,6.5
"2934",-3,2640,6,1987,602.32,20.625,0
"2941",-1.7,2647,7,1987,601.66,23,0
"2948",-1.5,2654,7,1987,600.77,22,11.5
"2955",-0.2,2661,7,1987,600.02,19.75,0
"2962",0.1,2668,7,1987,599.4,17.125,14.5
"2969",0.1,2675,7,1987,601.42,22.5,0
"3004",1.1,2710,9,1987,602.72,20.375,10.5
"3011",0.8,2717,9,1987,605.36,21,0
"3018",1.5,2724,9,1987,605.35,22.625,0
"3025",1.7,2731,9,1987,604.63,21,0
"3032",1.2,2738,10,1987,603.87,15.75,10.5
"3039",-1.8,2745,10,1987,613.69,13.75,0
"3046",-6.8,2752,10,1987,625.54,14.375,0
"3053",-8.7,2759,10,1987,627.53,10.75,0
"3060",-9.3,2766,10,1987,627.69,13.875,6.2
"3067",-10.4,2773,11,1987,627.34,8.75,0
"3074",-10.9,2780,11,1987,626.89,8.125,0
"3081",-11.5,2787,11,1987,626.84,9.25,0
"3088",-12.3,2794,11,1987,626.56,2.25,0
"3095",-12.5,2801,12,1987,626.02,4.75,5.5
"3102",-14.3,2808,12,1987,629.28,4.625,0
"3109",-14.6,2815,12,1987,628.85,8.25,0
"3116",-14.7,2822,12,1987,628.6,8,0
"3123",-15.2,2829,12,1987,628.505,5.25,0
"3130",-15.8,2836,1,1988,628.46,4.25,0
"3137",-16,2843,1,1988,628.32,4.75,14
"3144",-16.6,2850,1,1988,628.71,6,3
"3151",-16.5,2857,1,1988,628.54,9,0
"3158",-16.7,2864,2,1988,628.4,4.375,0
"3165",-16.7,2871,2,1988,627.88,4.75,0
"3172",-16.5,2878,2,1988,627.18,5,0
"3179",-16.3,2885,2,1988,626.44,2,0
"3186",-16.4,2892,3,1988,625.66,2.125,0
"3193",-16.2,2899,3,1988,625.01,5,0
"3200",-15.8,2906,3,1988,624.48,9.875,0
"3207",-15.4,2913,3,1988,623.95,10,0
"3214",-14.9,2920,3,1988,623.41,7.75,0
"3221",-15,2927,4,1988,623.01,6.75,4.7
"3228",-14.6,2934,4,1988,623.07,11.25,0
"3235",-14.5,2941,4,1988,624.06,12.25,0
"3242",-14.9,2948,4,1988,624.75,11.5,0
"3249",-14.7,2955,5,1988,624.87,10.5,0
"3256",-15,2962,5,1988,627.16,13.625,7.5
"3263",-15.7,2969,5,1988,628.4,14.25,5.5
"3270",-15,2976,5,1988,627.61,15,1.2
"3284",-15.5,2990,6,1988,629.38,14,0
"3291",-15.2,2997,6,1988,629.6,17.25,0
"3298",-14.8,3004,6,1988,629.7,20.125,0.7
"3305",-14.9,3011,6,1988,630.18,17.25,1.5
"3312",-14.5,3018,7,1988,630.07,18.875,0
"3319",-13.6,3025,7,1988,629.95,24.25,0
"3326",-13,3032,7,1988,629.67,24.625,0
"3333",-12.2,3039,7,1988,629.16,24,0
"3340",-10.6,3046,8,1988,628.54,23.75,0
"3347",-9.9,3053,8,1988,627.56,24.25,0
"3361",-8.5,3067,8,1988,625.58,19.75,0
"3368",-7.9,3074,9,1988,624.55,20,0
"3382",-6.7,3088,9,1988,622.43,13.375,0
"3389",-6.5,3095,9,1988,621.32,16.75,0
"3396",-5.7,3102,9,1988,620.32,18.75,0
"3403",-6.2,3109,10,1988,619.5,13.75,0
"3410",-6,3116,10,1988,618.63,12.25,0
"3417",-6.5,3123,10,1988,619.12,11.5,0
"3424",-6.7,3130,10,1988,619.21,14.75,0
"3431",-7,3137,11,1988,618.88,12.5,0
"3445",-8.9,3151,11,1988,620.66,8,0
"3452",-9.5,3158,11,1988,620.81,0.75,0
"3459",-10.4,3165,12,1988,620.57,3.75,0
"3473",-11.5,3179,12,1988,619.85,3,0
"3480",-11.9,3186,12,1988,619.35,3.25,0
"3487",-11.9,3193,12,1988,618.46,4,0
"3494",-12.2,3200,1,1989,617.54,3,0
"3501",-12.3,3207,1,1989,616.6,4.75,0
"3508",-12.2,3214,1,1989,615.66,2.5,0
"3515",-12.7,3221,1,1989,615.04,2.5,0
"3522",-12.4,3228,2,1989,614.35,5,0
"3529",-12.6,3235,2,1989,613.68,4.25,0
"3536",-12.3,3242,2,1989,612.95,5.25,0
"3543",-11.7,3249,2,1989,612.21,6.75,0
"3550",-11.5,3256,3,1989,611.52,7.75,0
"3557",-11,3263,3,1989,610.8,5.5,0
"3564",-10.4,3270,3,1989,610.07,10.25,0
"3571",-10.2,3277,3,1989,609.34,12.5,0
"3578",-9.4,3284,3,1989,608.6,14.5,0
"3585",-9.9,3291,4,1989,608.15,4.75,0
"3592",-10,3298,4,1989,608.75,6,2
"3599",-10,3305,4,1989,609.02,10.5,0
"3606",-10.4,3312,4,1989,610.46,4,1
"3613",-10.3,3319,5,1989,611.56,13.25,0
"3620",-9.2,3326,5,1989,612.14,15.25,0
"3627",-8.8,3333,5,1989,612.74,16.25,0
"3641",-8.2,3347,6,1989,612.53,14,8
"3648",-8.2,3354,6,1989,612.96,15.5,0.7
"3655",-7.4,3361,6,1989,614.16,19.5,8
"3662",-6.7,3368,6,1989,614.07,22.25,0
"3669",-5.8,3375,6,1989,613.61,20,0
"3676",-4.9,3382,7,1989,612.9,21.5,0
"3683",-4.2,3389,7,1989,612.14,20.75,0
"3690",-3,3396,7,1989,610.99,23,0
"3697",-2.1,3403,7,1989,609.44,23.5,0
"3746",0.4,3452,9,1989,601.87,18.25,0
"3753",0.6,3459,9,1989,601.39,18,0
"3760",0.3,3466,9,1989,601.58,14.75,0
"3767",0,3473,10,1989,600.52,16.25,0
"3781",-0.6,3487,10,1989,597.76,12,0
"3788",-0.9,3494,10,1989,596.35,13,0
"3795",-1,3501,11,1989,595.13,13.5,0
"3802",-1.4,3508,11,1989,593.59,9,0
"3809",-1.9,3515,11,1989,591.85,7.75,0
"3816",-2.7,3522,11,1989,595.6,8.75,0
"3823",-3.2,3529,11,1989,597.11,8.25,0
"3830",-4.8,3536,12,1989,597.82,6.25,0
"3837",-5.3,3543,12,1989,597.89,7,0
"3844",-6.2,3550,12,1989,600.58,6,0
"3851",-6.6,3557,12,1989,601.96,6.75,0
"3858",-7.4,3564,1,1990,602.4,3.25,0
"3865",-8.2,3571,1,1990,602.38,5,0
"3872",-8.6,3578,1,1990,602.01,3.25,0
"3879",-8.6,3585,1,1990,601.37,5.5,0
"3886",-8.8,3592,2,1990,600.77,3.75,0
"3893",-8.6,3599,2,1990,600.12,7.5,0
"3900",-8.6,3606,2,1990,599.41,9,0
"3907",-8,3613,2,1990,598.61,7.75,0
"3914",-7.4,3620,3,1990,597.69,10.75,0
"3921",-7.7,3627,3,1990,596.56,10,0
"3928",-7.1,3634,3,1990,595.48,8.25,0
"3935",-6.3,3641,3,1990,594.37,15.25,0
"3942",-6.5,3648,3,1990,593.12,6.5,0
"3949",-6.4,3655,4,1990,592.37,7.75,9.5
"3956",-6.4,3662,4,1990,592.09,12,0
"3963",-6.4,3669,4,1990,590.89,8.5,0
"3970",-6.3,3676,4,1990,590.27,8,5
"3977",-5.9,3683,5,1990,591.24,12.75,0
"3984",-5.6,3690,5,1990,591.53,13,0
"3991",-4.6,3697,5,1990,591.89,17.25,0
"3998",-4.1,3704,5,1990,594.11,15.5,3
"4005",-5.2,3711,5,1990,600.82,14.25,2.5
"4012",-4.8,3718,6,1990,603.21,16.5,0
"4026",-5.4,3732,6,1990,610.65,18.75,0
"4033",-4.9,3739,6,1990,611.62,20.25,4.5
"4040",-4.4,3746,7,1990,612.12,19.25,0
"4047",-3.8,3753,7,1990,612.57,19.25,0
"4054",-3,3760,7,1990,612.33,24.75,0
"4061",-2.6,3767,7,1990,612.35,24,0
"4117",-2.3,3823,9,1990,615.37,20.25,0
"4124",-2.8,3830,9,1990,615.77,17.25,0
"4131",-3.6,3837,10,1990,617.91,17.75,4
"4138",-4.8,3844,10,1990,619.19,16.75,3
"4145",-6.7,3851,10,1990,622.28,12.25,0
"4152",-8.1,3858,10,1990,623.83,12,0
"4166",-9.2,3872,11,1990,623.47,8.5,3.5
"4173",-10,3879,11,1990,623.92,10.25,0
"4180",-10.5,3886,11,1990,623.6,10.25,2.5
"4187",-11.6,3893,11,1990,623.43,3.15,0
"4201",-13.1,3907,12,1990,623.1,2.25,0
"4208",-13.7,3914,12,1990,622.96,2.75,0
"4215",-14.2,3921,12,1990,622.73,4.5,0
"4222",-14.4,3928,1,1991,622.61,4.25,0
"4229",-14.8,3935,1,1991,622.45,5.75,0
"4236",-15.2,3942,1,1991,622.32,3.5,0
"4243",-15.4,3949,1,1991,622.16,1.5,0
"4250",-15.5,3956,1,1991,621.96,4,0
"4257",-15.9,3963,2,1991,621.77,1,0
"4264",-16,3970,2,1991,621.55,-0.75,0
"4271",-15.9,3977,2,1991,621.42,6.25,0
"4278",-15.4,3984,2,1991,621.39,7.5,2
"4285",-15.9,3991,3,1991,622.31,8.25,31.5
"4292",-17.3,3998,3,1991,626.28,8.5,0
"4299",-17.2,4005,3,1991,627.15,12.75,0
"4306",-17.4,4012,3,1991,627.69,10,0
"4313",-17.9,4019,4,1991,628.38,8.75,1.5
"4320",-17.5,4026,4,1991,628.65,11.25,0
"4327",-17.7,4033,4,1991,628.78,9.25,0
"4334",-17.7,4040,4,1991,628.69,8.75,21
"4341",-17.7,4047,5,1991,628.74,9.25,17.5
"4348",-18.2,4054,5,1991,629.05,5,51
"4355",-17.7,4061,5,1991,629.7,14.75,0
"4362",-17.3,4068,5,1991,629.64,17.25,0
"4376",-16.7,4082,6,1991,630.09,17,0
"4383",-15.9,4089,6,1991,629.99,21,0
"4397",-14.2,4103,6,1991,629.62,23.25,0
"4404",-14,4110,7,1991,629.19,19.75,0
"4411",-13.1,4117,7,1991,628.73,24.5,0
"4418",-11.9,4124,7,1991,628.26,24.25,0
"4425",-11.2,4131,7,1991,627.78,23.25,0
"4481",-7.6,4187,9,1991,625.16,22.75,0
"4488",-7,4194,9,1991,623.78,15.5,21.5
"4495",-7.5,4201,10,1991,622.76,13.75,0
"4502",-7.5,4208,10,1991,622.36,17,0
"4509",-8.2,4215,10,1991,622.11,10.5,0
"4516",-8.8,4222,10,1991,621.79,8,0
"4523",-9.5,4229,10,1991,622.43,8.5,0
"4530",-10,4236,11,1991,622.46,6,0
"4537",-10.9,4243,11,1991,622.24,6.25,0.6
"4544",-11.7,4250,11,1991,622.02,4.75,3
"4551",-12.3,4257,11,1991,621.78,6.5,0
"4558",-15.6,4264,12,1991,628.64,7,0
"4565",-16.6,4271,12,1991,628.82,3.25,11.5
"4572",-17.3,4278,12,1991,628.6,1.5,0
"4593",-18.3,4299,1,1992,628.21,5.25,0
"4600",-18.7,4306,1,1992,628.01,3,0
"4607",-19.3,4313,1,1992,627.7,0.5,0
"4614",-20.6,4320,1,1992,628.1,4.75,0
"4621",-20.3,4327,2,1992,628.19,4.5,0
"4628",-19.6,4334,2,1992,628.3,9.25,0
"4635",-19.9,4341,2,1992,628.33,1.25,0
"4642",-19.9,4348,2,1992,628.22,6.25,0
"4649",-19.9,4355,3,1992,628.13,9.75,16
